"","age","racem","ugloanr","actcap","actded","actmgt","actrd","actrdt","actres","acttch","bapbpr","bayr","chchg","chcon","chfam","chlay","chloc","chot","chpay","chret","chsch","ctzfor","dgrdg","dgryr","eddad","edmom","emrg","emsecdt","facadv","facben","facchal","facind","facloc","facresp","facsal","facsec","facsoc"
"184",33,"4","02","N","N","N","N","Y","N","Y","2",2006,"L","L","L","L","L","L","L","L","L","L","1",2006,"7","7","09","12","2","1","2","2","1","2","2","2","1"
"185",32,"1","04","N","N","Y","N","N","N","N","2",2006,"L","L","L","L","L","L","L","L","L","L","1",2006,"1","3","05","11","1","1","2","1","1","2","1","2","2"
"186",30,"1","02","N","N","N","N","N","N","N","1",2008,"L","L","L","L","L","L","L","L","L","L","4",2015,"4","2","09","21","1","1","2","2","1","2","1","1","1"
"187",33,"4","04","N","Y","N","Y","Y","N","N","1",2005,"N","N","Y","N","N","N","N","N","N","L","2",2007,"5","4","09","22","2","1","1","1","1","2","1","2","2"
"188",33,"4","04","N","N","N","Y","Y","Y","Y","2",2005,"L","L","L","L","L","L","L","L","L","L","3",2013,"4","4","09","11","1","1","1","1","1","1","1","1","2"
"189",35,"1","02","Y","N","N","Y","Y","Y","N","2",2003,"N","Y","Y","N","Y","N","Y","N","N","L","3",2007,"5","5","09","21","1","1","1","1","1","1","1","1","1"
"190",34,"4","02","N","N","Y","N","N","N","N","2",2005,"N","Y","N","Y","Y","N","Y","N","N","L","4",2010,"3","2","07","21","2","1","1","1","1","1","1","2","1"
"191",35,"4","02","N","N","Y","N","N","N","N","1",2003,"L","L","L","L","L","L","L","L","L","L","1",2003,"4","4","08","21","2","1","1","1","2","2","2","2","1"
"192",34,"4","06","N","N","Y","N","N","N","N","1",2004,"Y","Y","N","N","Y","N","Y","N","N","L","1",2004,"6","3","08","22","2","2","1","1","1","1","2","2","2"
"193",35,"4","02","N","N","Y","N","N","N","N","1",2005,"L","L","L","L","L","L","L","L","L","L","1",2005,"4","3","08","21","2","2","2","1","1","2","2","3","1"
"194",31,"4","05","N","Y","Y","Y","Y","N","N","1",2007,"Y","Y","Y","N","Y","N","Y","N","N","L","4",2011,"4","4","01","22","1","3","1","1","1","1","2","3","2"
"195",35,"4","07","N","N","N","Y","Y","Y","N","2",2004,"Y","N","N","Y","N","N","Y","N","N","L","3",2015,"5","5","05","32","1","2","1","1","1","3","2","2","1"
"196",33,"4","03","N","N","N","Y","Y","Y","Y","1",2006,"N","Y","N","N","Y","N","Y","N","Y","L","3",2015,"5","5","05","11","2","2","1","1","3","1","2","1","2"
"197",32,"4","06","N","N","N","N","Y","N","Y","2",2007,"N","N","N","N","N","N","Y","N","Y","L","4",2012,"5","5","08","23","2","2","2","2","2","2","2","2","1"
"198",35,"4","04","N","N","Y","N","N","N","N","2",2003,"N","N","N","N","N","N","Y","N","N","L","4",2007,"6","5","07","31","1","1","1","1","1","1","1","1","1"
"199",32,"4","03","N","N","Y","N","N","N","N","1",2006,"L","L","L","L","L","L","L","L","L","L","1",2006,"4","3","05","21","2","1","1","2","1","3","1","2","2"
"200",33,"4","04","N","N","Y","N","N","N","N","1",2006,"N","N","N","N","N","N","Y","N","N","L","2",2010,"6","4","05","32","2","1","1","1","1","1","2","1","1"
"201",28,"4","02","N","N","N","N","Y","N","Y","1",2008,"N","N","Y","N","Y","N","N","N","N","L","2",2009,"2","3","05","12","1","1","1","2","1","1","1","1","1"
